,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6
0,ca-GrQc.txt.gr,6,3,4,6,5,4,1,4,0.001793,0.000239,0.000176,0.000437,0.000227,0.000311,0.000337,0.000528,10.187500000000002,1.0,5.320474777448072,7.898678414096918,5.765273311897106,4.102974828375286
1,ca-HepTh.txt.gr,6,3,5,5,5,4,1,4,0.000883,0.000175,0.000182,0.000381,0.000186,0.000294,0.000393,0.000426,4.851648351648351,1.0,2.246819338422392,4.74731182795699,3.003401360544218,2.31758530183727
2,facebook_combined.txt,5,4,6,4,6,4,1,3,0.000672,0.000277,0.000388,0.000323,0.000373,0.000438,0.000268,0.000445,1.7319587628865978,0.9999999999999999,2.507462686567164,1.8016085790884715,1.5342465753424657,2.0804953560371513
3,wiki,5,3,4,5,4,4,1,4,0.000821,0.000228,0.000197,0.000576,0.00023,0.000405,0.000304,0.00072,4.16751269035533,1.0,2.700657894736842,3.5695652173913044,2.0271604938271603,1.4253472222222223
4,as-caida20071105.txt.gr,5,3,4,5,4,4,1,4,0.001357,0.000253,0.000222,0.000686,0.000198,0.000333,0.000549,0.000612,6.112612612612613,1.0,2.471766848816029,6.853535353535354,4.075075075075075,1.978134110787172
5,ca-CondMat.txt.gr,6,3,4,5,4,4,1,4,0.001864,0.000299,0.000247,0.000841,0.000249,0.000412,0.000607,0.000881,7.5465587044534415,1.0,3.070840197693575,7.485943775100402,4.524271844660194,2.2164090368608798
6,ca-HepPh.txt.gr,6,3,4,5,4,4,1,4,0.001561,0.000383,0.000303,0.000752,0.000319,0.000502,0.000608,0.000979,5.151815181518152,1.0,2.567434210526316,4.893416927899686,3.109561752988048,2.075797872340426
7,email-Enron.gr,5,3,4,5,4,3,1,3,0.002072,0.000438,0.000327,0.001091,0.00033,0.00045,0.000634,0.000893,6.336391437308869,1.0,3.2681388012618298,6.278787878787879,4.604444444444445,1.8991750687442714
8,ca-AstroPh.txt.gr,5,3,4,5,4,3,1,3,0.001608,0.000362,0.000295,0.001046,0.000307,0.000408,0.000585,0.00078,5.450847457627119,1.0,2.7487179487179487,5.2377850162866455,3.9411764705882355,1.5372848948374762
9,loc-brightkite_edges.txt,5,3,4,5,4,4,1,4,0.003293,0.000599,0.000454,0.001629,0.000461,0.000817,0.000955,0.001636,7.25330396475771,1.0,3.4481675392670152,7.143167028199565,4.030599755201958,2.021485573971762
10,soc-Epinions1.txt.gr,5,3,4,5,4,4,1,4,0.004162,0.00084,0.000662,0.00207,0.000651,0.001068,0.001434,0.002108,6.287009063444108,1.0,2.902370990237099,6.393241167434716,3.897003745318352,2.0106280193236716
11,com-dblp.ungraph.txt.gr,6,4,6,6,6,4,1,4,0.010351,0.002818,0.002424,0.006226,0.002078,0.002852,0.00835,0.006226,4.270214521452146,1.0,1.2396407185628744,4.981231953801733,3.6293828892005613,1.6625441696113077
12,com-youtube.ungraph.txt.gr,6,4,7,6,8,4,1,4,0.048241,0.013004,0.015252,0.021197,0.013483,0.012741,0.023873,0.019747,3.1629294518751636,1.0,2.0207347212331923,3.5779129273900465,3.786280511733773,2.275840920885031
13,amazon0601.txt.pr,6,3,6,6,5,4,1,3,0.038523,0.005979,0.007714,0.015882,0.00611,0.008792,0.00848,0.009853,4.993907181747472,1.0,4.5428066037735855,6.304909983633388,4.3815969062784355,2.425576123913865
14,soc-LiveJournal1.txt,5,4,4,5,6,4,1,4,0.961396,0.344917,0.346002,0.525081,0.270718,0.338117,0.212971,0.465888,2.778585094883845,1.0,4.514210854999037,3.5512821459969413,2.8433826160766835,1.8309479870724708
15,higgs-social_network.edgelist,5,3,5,5,5,4,1,4,0.145267,0.031693,0.035556,0.060818,0.037232,0.054665,0.025573,0.06858,4.085583305208686,1.0,5.68048332225394,3.9016706059303825,2.6574041891521087,2.3885527310993457
16,com-orkut.ungraph.txt.gr,5,3,3,4,4,4,1,4,1.18698,0.318503,0.32235,0.525109,0.326223,0.592662,0.272121,0.712032,3.6822708236389015,1.0,4.3619566295875725,3.638553995273172,2.0027941727325183,2.26044497428153
17,delaunay_n10.mtx,6,4,6,6,7,4,1,4,0.000404,0.000104,9.5e-05,0.000132,9.5e-05,0.00012,0.000103,0.000167,4.252631578947368,1.0,3.9223300970873787,4.252631578947368,3.366666666666667,3.0606060606060606
18,delaunay_n11.mtx,7,4,6,7,7,4,1,4,0.000624,0.000109,0.000101,0.000195,0.000101,0.000113,0.000137,0.000216,6.178217821782178,1.0,4.554744525547445,6.178217821782178,5.522123893805309,3.1999999999999997
19,delaunay_n12.mtx,8,4,7,8,12,4,1,4,0.000752,0.000121,0.000143,0.000237,0.000179,0.000122,0.000165,0.000225,5.258741258741258,1.0,4.557575757575758,4.201117318435754,6.163934426229508,3.1729957805907176
20,delaunay_n13.mtx,9,4,7,9,11,4,1,4,0.001157,0.000149,0.000183,0.000361,0.000219,0.000159,0.000183,0.000275,6.3224043715847,1.0,6.3224043715847,5.28310502283105,7.2767295597484285,3.204986149584488
21,delaunay_n14.mtx,9,4,7,9,10,4,1,4,0.001595,0.000238,0.000266,0.000596,0.000297,0.000215,0.000265,0.000325,5.996240601503759,0.9999999999999999,6.018867924528302,5.37037037037037,7.418604651162791,2.6761744966442955
22,delaunay_n15.mtx,9,4,7,9,11,4,1,4,0.002672,0.000359,0.000393,0.00104,0.000463,0.000292,0.000436,0.000567,6.798982188295165,1.0,6.128440366972476,5.771058315334773,9.150684931506849,2.5692307692307694
23,delaunay_n16.mtx,9,4,7,9,11,4,1,4,0.004527,0.000579,0.00065,0.001881,0.000771,0.000537,0.000768,0.001022,6.964615384615385,1.0,5.894531249999999,5.871595330739299,8.430167597765362,2.4066985645933014
24,delaunay_n17.mtx,10,4,7,10,12,4,1,4,0.00783,0.00102,0.001107,0.003325,0.001571,0.000868,0.001142,0.001412,7.073170731707317,1.0,6.856392294220666,4.984086569064291,9.02073732718894,2.3548872180451133
25,delaunay_n18.mtx,10,4,6,10,13,4,1,4,0.01009,0.001973,0.00196,0.004647,0.003073,0.001743,0.002351,0.002867,5.1479591836734695,1.0,4.291790727350064,3.283436381386267,5.78886976477338,2.1712933075102216
26,delaunay_n19.mtx,11,4,7,11,12,4,1,4,0.027388,0.003425,0.004023,0.009203,0.005067,0.003197,0.003439,0.00459,6.807854834700472,0.9999999999999999,7.96394300668799,5.405170712453128,8.566781357522677,2.975986091491905
27,delaunay_n20.mtx,11,4,7,11,14,4,1,4,0.064304,0.007616,0.009402,0.019268,0.011173,0.006133,0.007452,0.010564,6.839395873218463,1.0,8.629092860976918,5.755302962498881,10.4849176585684,3.337346896408553
28,delaunay_n21.mtx,12,4,7,12,15,4,1,4,0.130629,0.013355,0.016906,0.040502,0.027347,0.012176,0.014147,0.019682,7.726783390512243,1.0,9.233689121368487,4.776721395399861,10.728400131406044,3.2252481358945233
29,delaunay_n22.mtx,12,4,7,12,14,4,1,4,0.466362,0.031148,0.040058,0.09555,0.057072,0.030931,0.03153,0.044485,11.642168855160017,1.0,14.791056137012369,8.171467619848611,15.077495069671205,4.880816326530613
30,delaunay_n23.mtx,13,4,4,13,13,4,1,4,0.940893,0.063636,0.063028,0.214183,0.104348,0.055919,0.066308,0.095707,14.928174779463095,1.0,14.189735778488267,9.016876221872964,16.82599831899712,4.392939682421106
31,delaunay_n24.mtx,13,4,4,13,14,4,1,4,1.78106,0.123549,0.118548,0.399907,0.223964,0.113573,0.126351,0.178191,15.023956540810476,1.0,14.09612903736417,7.952438784804701,15.682072323527601,4.453685481874536
32,road_usa.mtx,15,4,4,15,2361,6,1,4,1.53414,0.126857,0.123446,0.532345,25.8138,0.148203,0.165205,0.260686,12.42762017400321,1.0,9.286280681577434,0.05943100202217419,10.351612315540173,2.8818529337177963
33,kmer_A2a.mtx,12,4,4,12,255,7,1,4,19.059,1.98674,2.01981,7.87203,56.5891,2.94055,2.1309,2.68843,9.436036062797987,1.0,8.944108123328173,0.3367963088297923,6.481440546836477,2.421103578111364
34,kmer_V1r.mtx,11,4,4,11,162,7,1,4,18.496,1.6904,1.58927,6.54113,23.8945,2.52872,2.81629,3.49984,11.63804765710043,1.0,6.567505477063796,0.7740693465023332,7.314372488848113,2.8276459877727547
35,uk-2002.mtx,8,4,4,8,17,5,1,4,2.423,0.411844,0.414503,1.00666,1.24361,0.513657,0.389051,0.661566,5.8455547969496,1.0,6.227975252601845,1.9483600164038564,4.717155611624099,2.406969582580017
